region,median_Fst_betweenBatSpec,median_Fst_betweenProvince_amongRs,median_Pi,recombination_density
E,0.5001852675,0.4500848975414602,0.025974025974025976,15.623591
M,0.5694984909999999,0.3965376597480287,0.05255255255255256,6.947566
N,0.6057176424999999,0.3344879368968592,0.0330188679245283,6.822187
ORF3a,0.4752957725,0.575375231408672,0.11981020166073549,15.986577
ORF3b,0.535323076,0.6232335920131689,0.10683760683760685,15.920668
ORF6,0.6024067975,0.5143708060499664,0.015363128491620111,7.536946
ORF7a,0.5235346329999999,0.5638930916996475,0.06631299734748011,10.741848
ORF7b,0.420712172,0.5390939140501578,0.06666666666666667,9.456914
ORF8a,0.4555888965,0.08124460677437592,0.17415730337078653,5.722689
ORF8b,0.4158300655,0.14917200702146066,0.1380090497737557,7.545723
ORF9a,0.6954565495,0.40538184507906316,0.032407407407407406,NA
ORF9b,0.6598965640000001,0.2526276276276276,0.03367003367003367,NA
nsp1,0.5740125065,0.4194199849094472,0.06666666666666667,1.848987
nsp10,0.198821029,0.34289271151722445,0.06474820143884892,13.377404
nsp12,0.21678787700000002,0.3372988972030444,0.0629695885509839,16.520043
nsp13,0.208668205,0.41690716285993834,0.07751937984496124,14.570477
nsp14,0.2174164205,0.35987894593191205,0.09044908285895004,13.311392
nsp15,0.342852336,0.2937057179092318,0.09730250481695568,9.920926
nsp16,0.404242369,0.3600179282040601,0.08603351955307263,23.263158
nsp2,0.5411741685,0.46930778688173147,0.12960082944530846,7.677444
nsp3,0.5311052685000001,0.5773426459506854,0.1188168449197861,5.74767
nsp4,0.5459549095,0.4147696521612994,0.09933333333333332,12.3
nsp5,0.5069215345,0.4927315019859022,0.09368191721132896,13.438386
nsp6,0.529359004,0.4675246584400058,0.08505747126436781,16.347526
nsp7,0.370520458,0.3586016981620943,0.07228915662650602,16.193548
nsp8,0.243798165,0.3659867206078038,0.06060606060606061,15.123103
nsp9,0.1096863445,0.4376795194263491,0.06489675516224189,12.296188
spike,0.352977737,0.3412531041325061,0.17177162460181328,22.603709
