groupvar,group1,group1_num,group2,group2_num,Fst
province,Guangxi,5,Fujian,4,-0.0011942675159236122
province,Guangxi,5,Guizhou,4,-0.08278955954323007
province,Guangxi,5,Hunan,6,0.0734693877551021
province,Guangxi,5,Yunnan,39,0.2098010906638669
province,Guangxi,5,Jiangxi,11,-0.026653932974474822
province,Guangxi,5,Hubei,7,0.15588178481746176
province,Guangxi,5,Zhejiang,3,0.2567045579958062
province,Guangxi,5,Guangdong,30,0.3216723549488055
province,Fujian,4,Guizhou,4,-0.060853769300635734
province,Fujian,4,Hunan,6,-0.011337868480725639
province,Fujian,4,Yunnan,39,0.07510743247192529
province,Fujian,4,Jiangxi,11,-0.08708693178879871
province,Fujian,4,Hubei,7,-0.02732998208817246
province,Fujian,4,Zhejiang,3,0.3791574279379158
province,Fujian,4,Guangdong,30,0.0797937416967524
province,Guizhou,4,Hunan,6,-0.057863782963384534
province,Guizhou,4,Yunnan,39,0.05105618063349134
province,Guizhou,4,Jiangxi,11,-0.05876075005274197
province,Guizhou,4,Hubei,7,-0.029274783765801775
province,Guizhou,4,Zhejiang,3,0.3160919540229885
province,Guizhou,4,Guangdong,30,0.07084047984243684
province,Hunan,6,Yunnan,39,0.21306384278586693
province,Hunan,6,Jiangxi,11,0.15197780859916774
province,Hunan,6,Hubei,7,0.10455104551045502
province,Hunan,6,Zhejiang,3,-0.13678373382624756
province,Hunan,6,Guangdong,30,0.3264339589545694
province,Yunnan,39,Jiangxi,11,0.22862876419897346
province,Yunnan,39,Hubei,7,0.07240220926582644
province,Yunnan,39,Zhejiang,3,0.28168906321454956
province,Yunnan,39,Guangdong,30,0.09135749878089112
province,Jiangxi,11,Hubei,7,0.04382699925993636
province,Jiangxi,11,Zhejiang,3,0.29515079018196044
province,Jiangxi,11,Guangdong,30,0.27533196684787453
province,Hubei,7,Zhejiang,3,0.39551129607609997
province,Hubei,7,Guangdong,30,0.08163545198205016
province,Zhejiang,3,Guangdong,30,0.4660921912356803
Lineage,1,8,3,14,0.7062204192021637
Lineage,1,8,4,43,0.5286895786985556
Lineage,1,8,2,5,0.8558950028821
Lineage,1,8,5,46,0.5251742620703531
Lineage,3,14,4,43,0.01689530837321415
Lineage,3,14,2,5,0.6628877389249499
Lineage,3,14,5,46,-0.07722136041800319
Lineage,4,43,2,5,0.419345422003789
Lineage,4,43,5,46,0.11004643962848294
Lineage,2,5,5,46,0.347790993793809
species,Rhinolophus_ferrumequinum,5,Rhinolophus_sinicus,83,0.3648313551984628
species,Rhinolophus_ferrumequinum,5,Rhinolophus_pusillus,7,0.5784617551767854
species,Rhinolophus_ferrumequinum,5,Rhinolophus_affinis,6,0.8522571819425444
species,Rhinolophus_sinicus,83,Rhinolophus_pusillus,7,0.43646327443769783
species,Rhinolophus_sinicus,83,Rhinolophus_affinis,6,-0.12906234403933847
species,Rhinolophus_pusillus,7,Rhinolophus_affinis,6,0.47471451876019577
