region,province1,province1_seqnum,province2,province2_seqnum,Fst
nsp1,Guangxi,5,Fujian,4,0.29775280898876405
nsp1,Guangxi,5,Guizhou,4,-0.02850877192982456
nsp1,Guangxi,5,Hunan,6,0.047964934251722
nsp1,Guangxi,5,Liaoning,4,0.5923402255639098
nsp1,Guangxi,5,Yunnan,40,0.029320494809886587
nsp1,Guangxi,5,Jiangxi,11,0.3416128679286574
nsp1,Guangxi,5,Hubei,7,0.14013611175491458
nsp1,Guangxi,5,Zhejiang,3,0.47272026219394636
nsp1,Guangxi,5,Guangdong,30,0.41563001605136446
nsp1,Fujian,4,Guizhou,4,0.5295646523716698
nsp1,Fujian,4,Hunan,6,0.1536632807434623
nsp1,Fujian,4,Liaoning,4,0.8843137254901962
nsp1,Fujian,4,Yunnan,40,0.11764768258662285
nsp1,Fujian,4,Jiangxi,11,0.02892096892586247
nsp1,Fujian,4,Hubei,7,0.1377665544332211
nsp1,Fujian,4,Zhejiang,3,0.5849358974358974
nsp1,Fujian,4,Guangdong,30,0.06729143270211302
nsp1,Guizhou,4,Hunan,6,0.05018692647558622
nsp1,Guizhou,4,Liaoning,4,0.7845117845117846
nsp1,Guizhou,4,Yunnan,40,-0.1677177895906638
nsp1,Guizhou,4,Jiangxi,11,0.3429180537906554
nsp1,Guizhou,4,Hubei,7,0.15118921860494886
nsp1,Guizhou,4,Zhejiang,3,0.5357395612172683
nsp1,Guizhou,4,Guangdong,30,0.3868624449036856
nsp1,Hunan,6,Liaoning,4,0.35705606665509454
nsp1,Hunan,6,Yunnan,40,0.3949203257341827
nsp1,Hunan,6,Jiangxi,11,0.4342857142857143
nsp1,Hunan,6,Hubei,7,0.17073998642226745
nsp1,Hunan,6,Zhejiang,3,0.042517006802721
nsp1,Hunan,6,Guangdong,30,0.6224637681159421
nsp1,Liaoning,4,Yunnan,40,0.4035855540147225
nsp1,Liaoning,4,Jiangxi,11,0.5532611157537938
nsp1,Liaoning,4,Hubei,7,0.09273005773535997
nsp1,Liaoning,4,Zhejiang,3,0.729392446633826
nsp1,Liaoning,4,Guangdong,30,0.5604056664047411
nsp1,Yunnan,40,Jiangxi,11,0.2293671286446377
nsp1,Yunnan,40,Hubei,7,0.3063414986270869
nsp1,Yunnan,40,Zhejiang,3,0.5626254681600957
nsp1,Yunnan,40,Guangdong,30,0.2589250402455396
nsp1,Jiangxi,11,Hubei,7,0.30386459826609324
nsp1,Jiangxi,11,Zhejiang,3,0.6477720693924602
nsp1,Jiangxi,11,Guangdong,30,0.27150141935262045
nsp1,Hubei,7,Zhejiang,3,0.4606885147324113
nsp1,Hubei,7,Guangdong,30,0.4847280070680298
nsp1,Zhejiang,3,Guangdong,30,0.7208678569763269
ORF8b,Guangxi,5,Fujian,4,0.10854616895874257
ORF8b,Guangxi,5,Guizhou,4,0.02862985685071567
ORF8b,Guangxi,5,Hunan,6,0.14579300074460158
ORF8b,Guangxi,5,Liaoning,4,-3.4444444444444446
ORF8b,Guangxi,5,Yunnan,39,0.21578703635068033
ORF8b,Guangxi,5,Jiangxi,11,0.005232331120656011
ORF8b,Guangxi,5,Hubei,7,0.15522089879588719
ORF8b,Guangxi,5,Zhejiang,3,0.29234742017182297
ORF8b,Guangxi,5,Guangdong,30,0.2772330343039371
ORF8b,Fujian,4,Guizhou,4,0.06097560975609756
ORF8b,Fujian,4,Hunan,6,0.0016185365022574711
ORF8b,Fujian,4,Liaoning,4,-1.2765957446808511
ORF8b,Fujian,4,Yunnan,39,0.20164227436060034
ORF8b,Fujian,4,Jiangxi,11,0.010266057511421517
ORF8b,Fujian,4,Hubei,7,-0.03996486605182247
ORF8b,Fujian,4,Zhejiang,3,0.25729051310446666
ORF8b,Fujian,4,Guangdong,30,-0.03174241980959305
ORF8b,Guizhou,4,Hunan,6,0.003696705824365343
ORF8b,Guizhou,4,Liaoning,4,-1.530612244897959
ORF8b,Guizhou,4,Yunnan,39,0.20309415664336597
ORF8b,Guizhou,4,Jiangxi,11,0.056369546066687676
ORF8b,Guizhou,4,Hubei,7,-0.014275517487509087
ORF8b,Guizhou,4,Zhejiang,3,0.3217018671564126
