CHROM,BIN_START,BIN_END,N_VARIANTS,PI,site,year,host_species
lcl|NW_017738921.1_cds_XP_019601767.1_250,1,1000,8,0.000828044,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738921.1_cds_XP_019601767.1_250,1001,2000,2,0.000350503,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738922.1_cds_XP_019605192.1_270,1,1000,6,0.000429995,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738922.1_cds_XP_019605192.1_270,1001,2000,1,9.06024e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738922.1_cds_XP_019611007.1_330,1,1000,11,0.00134547,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019568721.1_358,1,1000,19,0.00341263,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019568721.1_358,1001,2000,1,7.14349e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019570716.1_366,1,1000,4,0.000476639,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019576359.1_432,1,1000,13,0.00210808,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019576359.1_432,1001,2000,6,0.000550208,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019579248.1_469,1,1000,4,0.000323958,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019579248.1_469,1001,2000,2,0.000251502,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019579981.1_536,1,1000,13,0.00394934,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019569479.1_560,1,1000,9,0.00153816,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019580365.1_579,1,1000,2,0.000103743,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019580365.1_579,1001,2000,5,0.00110211,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019580424.1_580,1,1000,4,0.00051328,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019580436.1_584,1,1000,17,0.00402749,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019580449.1_585,1,1000,3,0.000513274,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019580449.1_585,1001,2000,9,0.00162578,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019580449.1_585,2001,3000,6,0.000949069,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019580449.1_585,3001,4000,3,0.000532892,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019580449.1_585,4001,5000,7,0.00107184,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019580449.1_585,5001,6000,5,0.00123477,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019568473.1_592,1,1000,4,0.000488402,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738923.1_cds_XP_019568473.1_592,1001,2000,4,0.000744387,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738925.1_cds_XP_019582178.1_755,1,1000,5,0.000702808,Site1_GZ,2020,Rhinolophus sinicus
