sn1,sn2,mismatch,length,vsname_abbr
R2109032315,R2109032422,35,111,PicoV-14
R2109032315,R2109032489,70,111,PicoV-14
R2109032315,R2109032505,70,111,PicoV-14
R2109032315,R2109032506,69,111,PicoV-14
R2109032315,R2109032509,66,111,PicoV-14
R2109032422,R2109032489,110,111,PicoV-14
R2109032422,R2109032505,110,111,PicoV-14
R2109032422,R2109032506,109,111,PicoV-14
R2109032422,R2109032509,106,111,PicoV-14
R2109032489,R2109032505,2,111,PicoV-14
R2109032489,R2109032506,1,111,PicoV-14
R2109032489,R2109032509,4,111,PicoV-14
R2109032505,R2109032506,1,111,PicoV-14
R2109032505,R2109032509,4,111,PicoV-14
R2109032506,R2109032509,3,111,PicoV-14
