sn1,sn2,mismatch,length,vsname_abbr
R2107024454,R2109032314,117,332,AdV-4
R2107024454,R2109032319,143,332,AdV-4
R2107024454,R2109032327,178,332,AdV-4
R2107024454,R2109032358,142,332,AdV-4
R2107024454,R2109032365,142,332,AdV-4
R2107024454,R2109032428,122,332,AdV-4
R2107024454,R2109032500,158,332,AdV-4
R2107024454,R2109032510,112,332,AdV-4
R2109032314,R2109032319,125,332,AdV-4
R2109032314,R2109032327,153,332,AdV-4
R2109032314,R2109032358,124,332,AdV-4
R2109032314,R2109032365,124,332,AdV-4
R2109032314,R2109032428,135,332,AdV-4
R2109032314,R2109032500,157,332,AdV-4
R2109032314,R2109032510,54,332,AdV-4
R2109032319,R2109032327,106,332,AdV-4
R2109032319,R2109032358,1,332,AdV-4
R2109032319,R2109032365,1,332,AdV-4
R2109032319,R2109032428,161,332,AdV-4
R2109032319,R2109032500,119,332,AdV-4
R2109032319,R2109032510,146,332,AdV-4
R2109032327,R2109032358,105,332,AdV-4
R2109032327,R2109032365,105,332,AdV-4
R2109032327,R2109032428,145,332,AdV-4
R2109032327,R2109032500,71,332,AdV-4
R2109032327,R2109032510,165,332,AdV-4
R2109032358,R2109032365,0,332,AdV-4
R2109032358,R2109032428,160,332,AdV-4
R2109032358,R2109032500,118,332,AdV-4
R2109032358,R2109032510,145,332,AdV-4
R2109032365,R2109032428,160,332,AdV-4
R2109032365,R2109032500,118,332,AdV-4
R2109032365,R2109032510,145,332,AdV-4
R2109032428,R2109032500,121,332,AdV-4
R2109032428,R2109032510,125,332,AdV-4
R2109032500,R2109032510,166,332,AdV-4
