sn1,sn2,mismatch,length,vsname_abbr
R2107024469,R2107024487,266,804,CoV-8
R2107024469,R2109032309,209,804,CoV-8
R2107024469,R2109032322,148,804,CoV-8
R2107024469,R2109032376,305,804,CoV-8
R2107024469,R2109032385,323,804,CoV-8
R2107024469,R2109032387,309,804,CoV-8
R2107024469,R2109032394,284,804,CoV-8
R2107024469,R2109032405,324,804,CoV-8
R2107024469,R2109032410,325,804,CoV-8
R2107024469,R2109032479,357,804,CoV-8
R2107024469,R2109032493,380,804,CoV-8
R2107024469,R2109032494,337,804,CoV-8
R2107024469,R2109032508,388,804,CoV-8
R2107024469,R2109032511,341,804,CoV-8
R2107024469,R2109032562,162,804,CoV-8
R2107024487,R2109032309,204,804,CoV-8
R2107024487,R2109032322,187,804,CoV-8
R2107024487,R2109032376,316,804,CoV-8
R2107024487,R2109032385,334,804,CoV-8
R2107024487,R2109032387,318,804,CoV-8
R2107024487,R2109032394,281,804,CoV-8
R2107024487,R2109032405,335,804,CoV-8
R2107024487,R2109032410,338,804,CoV-8
R2107024487,R2109032479,189,804,CoV-8
R2107024487,R2109032493,186,804,CoV-8
R2107024487,R2109032494,162,804,CoV-8
R2107024487,R2109032508,191,804,CoV-8
R2107024487,R2109032511,160,804,CoV-8
R2107024487,R2109032562,208,804,CoV-8
R2109032309,R2109032322,141,804,CoV-8
R2109032309,R2109032376,266,804,CoV-8
R2109032309,R2109032385,281,804,CoV-8
R2109032309,R2109032387,271,804,CoV-8
R2109032309,R2109032394,228,804,CoV-8
R2109032309,R2109032405,282,804,CoV-8
R2109032309,R2109032410,283,804,CoV-8
R2109032309,R2109032479,308,804,CoV-8
R2109032309,R2109032493,311,804,CoV-8
R2109032309,R2109032494,271,804,CoV-8
R2109032309,R2109032508,324,804,CoV-8
R2109032309,R2109032511,283,804,CoV-8
R2109032309,R2109032562,161,804,CoV-8
R2109032322,R2109032376,263,804,CoV-8
R2109032322,R2109032385,271,804,CoV-8
R2109032322,R2109032387,261,804,CoV-8
R2109032322,R2109032394,233,804,CoV-8
R2109032322,R2109032405,277,804,CoV-8
R2109032322,R2109032410,278,804,CoV-8
R2109032322,R2109032479,309,804,CoV-8
R2109032322,R2109032493,314,804,CoV-8
R2109032322,R2109032494,277,804,CoV-8
R2109032322,R2109032508,321,804,CoV-8
R2109032322,R2109032511,279,804,CoV-8
R2109032322,R2109032562,146,804,CoV-8
R2109032376,R2109032385,31,804,CoV-8
R2109032376,R2109032387,35,804,CoV-8
R2109032376,R2109032394,2,804,CoV-8
R2109032376,R2109032405,2,804,CoV-8
R2109032376,R2109032410,2,804,CoV-8
R2109032376,R2109032479,410,804,CoV-8
R2109032376,R2109032493,427,804,CoV-8
R2109032376,R2109032494,375,804,CoV-8
R2109032376,R2109032508,440,804,CoV-8
R2109032376,R2109032511,373,804,CoV-8
R2109032376,R2109032562,247,804,CoV-8
R2109032385,R2109032387,16,804,CoV-8
R2109032385,R2109032394,28,804,CoV-8
R2109032385,R2109032405,31,804,CoV-8
R2109032385,R2109032410,31,804,CoV-8
R2109032385,R2109032479,434,804,CoV-8
R2109032385,R2109032493,451,804,CoV-8
R2109032385,R2109032494,402,804,CoV-8
R2109032385,R2109032508,465,804,CoV-8
R2109032385,R2109032511,396,804,CoV-8
R2109032385,R2109032562,259,804,CoV-8
R2109032387,R2109032394,34,804,CoV-8
R2109032387,R2109032405,35,804,CoV-8
R2109032387,R2109032410,35,804,CoV-8
R2109032387,R2109032479,416,804,CoV-8
R2109032387,R2109032493,430,804,CoV-8
R2109032387,R2109032494,390,804,CoV-8
R2109032387,R2109032508,445,804,CoV-8
R2109032387,R2109032511,379,804,CoV-8
R2109032387,R2109032562,253,804,CoV-8
R2109032394,R2109032405,2,804,CoV-8
R2109032394,R2109032410,2,804,CoV-8
R2109032394,R2109032479,375,804,CoV-8
R2109032394,R2109032493,392,804,CoV-8
R2109032394,R2109032494,357,804,CoV-8
R2109032394,R2109032508,402,804,CoV-8
R2109032394,R2109032511,346,804,CoV-8
R2109032394,R2109032562,217,804,CoV-8
R2109032405,R2109032410,0,804,CoV-8
R2109032405,R2109032479,437,804,CoV-8
R2109032405,R2109032493,455,804,CoV-8
R2109032405,R2109032494,403,804,CoV-8
R2109032405,R2109032508,468,804,CoV-8
R2109032405,R2109032511,399,804,CoV-8
R2109032405,R2109032562,264,804,CoV-8
R2109032410,R2109032479,440,804,CoV-8
R2109032410,R2109032493,458,804,CoV-8
R2109032410,R2109032494,406,804,CoV-8
R2109032410,R2109032508,471,804,CoV-8
R2109032410,R2109032511,402,804,CoV-8
R2109032410,R2109032562,264,804,CoV-8
R2109032479,R2109032493,0,804,CoV-8
R2109032479,R2109032494,4,804,CoV-8
R2109032479,R2109032508,4,804,CoV-8
R2109032479,R2109032511,3,804,CoV-8
R2109032479,R2109032562,310,804,CoV-8
R2109032493,R2109032494,4,804,CoV-8
R2109032493,R2109032508,5,804,CoV-8
R2109032493,R2109032511,3,804,CoV-8
R2109032493,R2109032562,326,804,CoV-8
R2109032494,R2109032508,4,804,CoV-8
R2109032494,R2109032511,3,804,CoV-8
R2109032494,R2109032562,289,804,CoV-8
R2109032508,R2109032511,2,804,CoV-8
R2109032508,R2109032562,335,804,CoV-8
R2109032511,R2109032562,289,804,CoV-8
