sn1,sn2,mismatch,length,vsname_abbr
R2012010374,R2109032396,76,99,ParV-9
R2012010374,R2109032411,85,99,ParV-9
R2012010374,R2109032434,84,99,ParV-9
R2012010374,R2109032470,74,99,ParV-9
R2012010374,R2109032516,84,99,ParV-9
R2012010374,R2109032519,77,99,ParV-9
R2012010374,R2109032535,83,99,ParV-9
R2012010374,R2109032549,77,99,ParV-9
R2109032396,R2109032411,16,99,ParV-9
R2109032396,R2109032434,5,99,ParV-9
R2109032396,R2109032470,10,99,ParV-9
R2109032396,R2109032516,12,99,ParV-9
R2109032396,R2109032519,14,99,ParV-9
R2109032396,R2109032535,13,99,ParV-9
R2109032396,R2109032549,6,99,ParV-9
R2109032411,R2109032434,19,99,ParV-9
R2109032411,R2109032470,6,99,ParV-9
R2109032411,R2109032516,7,99,ParV-9
R2109032411,R2109032519,10,99,ParV-9
R2109032411,R2109032535,6,99,ParV-9
R2109032411,R2109032549,13,99,ParV-9
R2109032434,R2109032470,14,99,ParV-9
R2109032434,R2109032516,16,99,ParV-9
R2109032434,R2109032519,17,99,ParV-9
R2109032434,R2109032535,17,99,ParV-9
R2109032434,R2109032549,6,99,ParV-9
R2109032470,R2109032516,7,99,ParV-9
R2109032470,R2109032519,5,99,ParV-9
R2109032470,R2109032535,0,99,ParV-9
R2109032470,R2109032549,8,99,ParV-9
R2109032516,R2109032519,9,99,ParV-9
R2109032516,R2109032535,7,99,ParV-9
R2109032516,R2109032549,12,99,ParV-9
R2109032519,R2109032535,5,99,ParV-9
R2109032519,R2109032549,10,99,ParV-9
R2109032535,R2109032549,11,99,ParV-9
