CHROM,BIN_START,BIN_END,N_VARIANTS,PI,site,year,host_species
singlecopy_cds_0,1,1000,7,0.00133484,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_0,1001,2000,5,0.000975806,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_1,1,1000,4,0.00103831,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_1,1001,2000,1,0.000175403,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_3,1,1000,1,5.84749e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_3,1001,2000,3,0.000885407,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_6,1,1000,9,0.00213234,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_9,1,1000,6,0.0022039,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_9,1001,2000,7,0.00107056,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_10,1,1000,2,0.000183468,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_10,1001,2000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_12,1,1000,4,0.000447742,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_12,1001,2000,3,0.00100605,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_16,1,1000,2,0.000489919,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_16,1001,2000,6,0.00103868,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_16,2001,3000,12,0.00238827,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_16,3001,4000,10,0.00185282,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_16,4001,5000,14,0.00413859,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_16,5001,6000,7,0.00175605,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_16,6001,7000,7,0.00161713,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_20,1,1000,7,0.00122062,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_23,1,1000,5,0.00147782,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_24,1,1000,4,0.000772272,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_24,1001,2000,3,0.000681452,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_27,1,1000,6,0.00110373,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_27,1001,2000,3,0.000834677,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_30,1,1000,4,0.0011332,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_30,1001,2000,1,0.000225806,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_31,1,1000,5,0.00130676,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_31,1001,2000,4,0.00087974,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_32,1,1000,2,0.000183468,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_32,1001,2000,1,0.000514113,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_38,1,1000,4,0.000726068,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_38,1001,2000,4,0.000909274,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_43,1,1000,10,0.00152823,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_43,1001,2000,3,0.000413306,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_44,1,1000,2,0.000125,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_44,1001,2000,2,0.000125,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_45,1,1000,6,0.00109893,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_46,1,1000,6,0.00122581,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_47,1,1000,5,0.000758065,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_47,1001,2000,13,0.0022566,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_47,2001,3000,13,0.00241159,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_47,3001,4000,7,0.00151613,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_47,4001,5000,7,0.00121199,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_47,5001,6000,2,0.000288306,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_50,1,1000,6,0.00187386,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_54,1,1000,8,0.00177968,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_54,1001,2000,4,0.000421371,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_55,1,1000,19,0.00447666,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_55,1001,2000,15,0.00543346,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_57,1001,2000,1,5.44484e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_59,1,1000,3,0.000288377,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_59,1001,2000,2,0.000627093,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_60,1,1000,4,0.000439751,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_60,1001,2000,4,0.000752109,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_61,1,1000,5,0.000977823,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_62,1001,2000,1,0.000290358,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_64,1,1000,2,0.000391396,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_65,1,1000,2,0.000739919,Site1_GZ,2020,Rhinolophus affinis
