region,province1,province1_seqnum,province2,province2_seqnum,Fst
nsp1,Yunnan,25,Guangdong,29,0.49017156230833026
nsp1,Yunnan,25,Hunan,4,0.6895249953947569
nsp1,Yunnan,25,Fujian,4,0.6996081235497417
nsp1,Yunnan,25,Guangxi,3,0.5468151466309422
nsp1,Yunnan,25,Hubei,3,0.7213748913617696
nsp1,Yunnan,25,Jiangxi,10,0.7092873681502444
nsp1,Yunnan,25,Guizhou,4,0.4563672980219183
nsp1,Guangdong,29,Hunan,4,0.452051743572961
nsp1,Guangdong,29,Fujian,4,0.08428321248617422
nsp1,Guangdong,29,Guangxi,3,0.37040643645005666
nsp1,Guangdong,29,Hubei,3,0.38578200752028025
nsp1,Guangdong,29,Jiangxi,10,0.2656008936404307
nsp1,Guangdong,29,Guizhou,4,0.41125870786860763
nsp1,Hunan,4,Fujian,4,0.48484848484848486
nsp1,Hunan,4,Guangxi,3,0.15151515151515146
nsp1,Hunan,4,Hubei,3,0.13766233766233768
nsp1,Hunan,4,Jiangxi,10,0.4447384490128231
nsp1,Hunan,4,Guizhou,4,0.21382289416846653
nsp1,Fujian,4,Guangxi,3,0.5235646958011997
nsp1,Fujian,4,Hubei,3,0.3984674329501916
nsp1,Fujian,4,Jiangxi,10,0.15290478140212008
nsp1,Fujian,4,Guizhou,4,0.5295646523716698
nsp1,Guangxi,3,Hubei,3,0.07382550335570474
nsp1,Guangxi,3,Jiangxi,10,0.42758126195028684
nsp1,Guangxi,3,Guizhou,4,0.05988700564971749
nsp1,Hubei,3,Jiangxi,10,0.36392075078206465
nsp1,Hubei,3,Guizhou,4,0.24097397145256094
nsp1,Jiangxi,10,Guizhou,4,0.4499903748315595
ORF8b,Yunnan,24,Guangdong,29,0.3794138504716618
ORF8b,Yunnan,24,Hunan,4,0.5222214007954696
ORF8b,Yunnan,24,Fujian,4,0.5126483754643583
ORF8b,Yunnan,24,Guangxi,3,0.435012717598464
ORF8b,Yunnan,24,Hubei,3,0.4895193677937557
ORF8b,Yunnan,24,Jiangxi,10,0.5464887122166108
ORF8b,Yunnan,24,Guizhou,4,0.4944531103762401
ORF8b,Guangdong,29,Hunan,4,0.09575002367634868
ORF8b,Guangdong,29,Fujian,4,-0.020237475955032967
ORF8b,Guangdong,29,Guangxi,3,0.28466121331233607
ORF8b,Guangdong,29,Hubei,3,-0.007436837815810914
ORF8b,Guangdong,29,Jiangxi,10,0.2386227767440521
ORF8b,Guangdong,29,Guizhou,4,0.15308239677252242
ORF8b,Hunan,4,Fujian,4,0.011185682326621925
ORF8b,Hunan,4,Guangxi,3,0.2249038125218608
ORF8b,Hunan,4,Hubei,3,-0.06911314984709489
ORF8b,Hunan,4,Jiangxi,10,0.11722489592060736
ORF8b,Hunan,4,Guizhou,4,-0.08059023836549375
ORF8b,Fujian,4,Guangxi,3,0.21904761904761902
ORF8b,Fujian,4,Hubei,3,0.007751937984496192
ORF8b,Fujian,4,Jiangxi,10,0.07713329234132674
ORF8b,Fujian,4,Guizhou,4,0.06097560975609756
ORF8b,Guangxi,3,Hubei,3,0.4170886075949367
ORF8b,Guangxi,3,Jiangxi,10,-0.01616915422885565
ORF8b,Guangxi,3,Guizhou,4,0.14526161727039894
ORF8b,Hubei,3,Jiangxi,10,0.21161929543634914
ORF8b,Hubei,3,Guizhou,4,0.027083333333333435
ORF8b,Jiangxi,10,Guizhou,4,0.12078893035304376
ORF7b,Yunnan,24,Guangdong,29,0.7830985903392903
ORF7b,Yunnan,24,Hunan,4,0.5468361425808235
ORF7b,Yunnan,24,Fujian,4,0.7335800185013875
ORF7b,Yunnan,24,Guangxi,3,0.36864950182499756
ORF7b,Yunnan,24,Hubei,3,0.4665779847023612
ORF7b,Yunnan,24,Jiangxi,10,0.6999130066960901
ORF7b,Yunnan,24,Guizhou,4,0.4342824146048949
